ID,time,evid,ALT.ID,amt,ROUTE,BMD.femoral.neck_dv,BMD.femoral.neck_ERROR,BMD.femoral.neck_N,BMD.total.hip_dv,BMD.total.hip_ERROR,BMD.total.hip_N,BMD.lumbar.spine_dv,BMD.lumbar.spine_N,BMD.lumbar.spine_ERROR,CTX,N.x,ERROR.x,ERRSTAT.x,BASELINE.x,BSAP,N.y,ERROR.y,ERRSTAT.y,BASELINE.y,BMD.femoral.neck_ERRSTAT,BMD.lumbar.spine_ERRSTAT,BMD.total.hip_ERRSTAT,fnBMDlb,fnBMDub,lsBMDlb,lsBMDub,thBMDlb,thBMDub,cmt,FLG
1,0,0,35,.,1,.,.,.,100,.,.,.,.,.,100,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
1,0,1,35,6.00E+06,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
1,89.376,0,35,.,.,.,.,.,.,.,.,.,.,.,31.6,42,NA,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
1,672,0,35,.,.,.,.,.,101.162,0.29,40,101.2,40,0.32,15.4,38,NA,.,0.66,97.2,38,NA,NA,12.9,SE,SE,SE,.,.,100.57024,101.82976,100.59128,101.73272,0,0
1,1344,0,35,.,.,.,.,.,.,.,.,.,.,.,23.5,39,NA,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
1,2016,0,35,.,1,.,.,.,102.224,0.338,40,102,40,NA,42.6,37,NA,.,0.66,50.9,37,NA,NA,12.9,SE,NA,SE,.,.,.,.,101.558816,102.889184,0,0
1,2016,1,35,6.00E+06,1,.,.,.,.,.,.,.,.,.,.,37,.,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
1,2688,0,35,.,.,.,.,.,.,.,.,.,.,.,14.5,39,NA,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
1,3360,0,35,.,.,.,.,.,.,.,.,.,.,.,20.5,36,NA,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
1,4032,0,35,.,1,.,.,.,102.66,0.386,40,103.09,40,NA,35.1,37,NA,.,0.66,44.4,37,NA,NA,12.9,SE,NA,SE,.,.,.,.,101.900352,103.419648,0,0
1,4032,1,35,6.00E+06,1,.,.,.,.,.,.,.,.,.,.,37,.,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
1,4099.2,0,35,.,.,.,.,.,.,.,.,.,.,.,21.4,35,NA,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
1,4704,0,35,.,.,.,.,.,.,.,.,.,.,.,16.2,35,NA,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
1,5376,0,35,.,.,.,.,.,.,.,.,.,.,.,20.1,37,NA,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
1,6048,0,35,.,1,.,.,.,.,.,.,.,.,.,35.6,36,NA,.,0.66,38.4,36,NA,NA,12.9,.,.,.,.,.,.,.,.,.,0,0
1,6048,1,35,6.00E+06,1,.,.,.,.,.,.,.,.,.,.,36,.,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
1,6720,0,35,.,.,.,.,.,.,.,.,.,.,.,16,35,NA,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
1,7392,0,35,.,.,.,.,.,.,.,.,.,.,.,23.1,36,NA,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
1,8064,0,35,.,1,.,.,.,102.946,0.386,36,104.41,36,0.5,44.1,35,(-74.42; -41.92),.,0.66,38.9,35,(-77.57;-47.64),(25th percentile; 75th percentile),12.9,SE,SE,SE,.,.,103.426,105.394,102.186352,103.705648,0,0
1,8064,1,35,6.00E+06,1,.,.,.,.,.,.,.,.,.,.,35,.,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
1,10080,0,35,.,1,.,.,.,.,.,.,.,.,.,48.7,34,NA,.,0.66,50.7,34,NA,NA,12.9,.,.,.,.,.,.,.,.,.,0,0
1,10080,1,35,6.00E+06,1,.,.,.,.,.,.,.,.,.,.,34,.,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
1,12096,0,35,.,1,.,.,.,104.057,0.29,35,106.76,35,0.37,47.6,34,NA,.,0.66,55.4,34,NA,NA,12.9,SE,SE,SE,.,.,106.03184,107.48816,103.48628,104.62772,0,0
1,12096,1,35,6.00E+06,1,.,.,.,.,.,.,.,.,.,.,34,.,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
1,14112,0,35,.,1,.,.,.,.,.,.,.,.,.,50.4,35,NA,.,0.66,61.4,34,NA,NA,12.9,.,.,.,.,.,.,.,.,.,0,0
1,14112,1,35,6.00E+06,1,.,.,.,.,.,.,.,.,.,.,35,.,.,0.66,.,.,.,.,.,.,.,.,.,.,.,.,.,.,DENSC,0
