ID,time,P1NP,P1NPub,P1NPlb,CTX,CTXub,CTXlb,label,lsBMD,lsBMDub,lsBMDlb,thBMD,thBMDub,thBMDlb
1,0,100,0,0,100,0,0,PBO Q2W,100,100,100,100,100,100
1,168,95.1975,99.25837585,91.13662415,99.88372,109.5152997,90.25214027,PBO Q2W,,,,,,
1,336,93.62029,96.59903869,90.64154131,107.08206,116.3992557,97.76486433,PBO Q2W,,,,,,
1,672,89.551,93.8063572,85.2956428,102.34441,119.2117549,85.4770651,PBO Q2W,,,,,,
1,2016,80.0877,84.54667945,75.62872055,92.22253,99.93330853,84.51175147,PBO Q2W,99.345763,100.470523,98.221003,,,
1,3696,83.3006,87.96571086,78.63548914,86.8639,105.0163657,68.71143433,PBO Q2W,,,,,,
1,4032,93.49399,100.6408284,86.34715155,95.17398,109.9460698,80.40189024,PBO Q2W,99.546658,100.983788,98.109528,98.89655,100.10345,97.68965
1,8736,96.70696,105.0231742,88.39074584,112.4221,125.6015757,99.24262432,PBO Q2W,98.41748,100.67583,96.15913,99.379311,100.663841,98.094781
2,0,100,0,0,100,0,0,180 mg Q4W,100,100,100,100,100,100
2,168,149.4636,157.2836119,141.6435881,66.7411,72.32299644,61.15920356,180 mg Q4W,,,,,,
2,336,169.2373,186.4400391,152.0345609,70.2693,77.42313389,63.11546611,180 mg Q4W,,,,,,
2,672,122.0102,131.6823143,112.3380857,90.58285,99.44577333,81.71992667,180 mg Q4W,,,,,,
2,2016,77.8481,85.66811709,70.02808291,100.109322,113.6267701,86.59187388,180 mg Q4W,103.66919,104.69571,102.64267,,,
2,3696,91.58409,99.13078952,84.03739048,69.1227,77.66154506,60.58385494,180 mg Q4W,,,,,,
2,4032,72.3279,78.09001621,66.56578379,82.196,89.6472166,74.7447834,180 mg Q4W,106.23108,107.6638,104.79836,100.902232,102.068902,99.735562
2,8736,76.1693,81.73447192,70.60412808,90.4875,104.1669742,76.8080258,180 mg Q4W,108.38557,110.54127,106.22987,102.0689,103.47695,100.66085
3,0,100,0,0,100,0,0,180 mg Q2W,100,100,100,100,100,100
3,168,175.5893,186.6764594,164.5021406,66.6457,71.38393657,61.90746343,180 mg Q2W,,,,,,
3,336,201.613,216.4043501,186.8216499,70.2182,75.74615548,64.69024452,180 mg Q2W,,,,,,
3,672,230.736,262.1000223,199.3719777,83.9125,94.17868409,73.64631591,180 mg Q2W,,,,,,
3,2016,132.949,153.2405852,112.6574148,101.17919,116.6457246,85.71265537,180 mg Q2W,106.12081,107.2544,104.98722,,,
3,3696,136.0665,154.6845412,117.4484588,85.173,97.17652486,73.16947514,180 mg Q2W,,,,,,
3,4032,115.5627,132.7164134,98.40898663,90.55727,99.24402687,81.87051313,180 mg Q2W,110.6419,112.07903,109.20477,102.99419,104.0804,101.90798
3,8736,90.21326,98.9993329,81.4271871,84.5776,99.59373751,69.56146249,180 mg Q2W,114.8507,117.11666,112.58474,104.52292,105.81028,103.23556
4,0,100,0,0,100,0,0,270 mg Q2W,100,100,100,100,100,100
4,168,171.3382,184.7264725,157.9499275,62.4942,70.39125653,54.59714347,270 mg Q2W,,,,,,
4,336,239.947,258.1466883,221.7473117,55.2819,65.06744652,45.49635348,270 mg Q2W,,,,,,
4,672,254.108,283.6424216,224.5735784,73.7906,81.22062716,66.36057284,270 mg Q2W,,,,,,
4,2016,187.865,224.4833547,151.2466453,98.84874,109.4381787,88.25930134,270 mg Q2W,107.03626,108.16544,105.90708,,,
4,3696,182.3078,203.6543527,160.9612473,86.9686,103.5592308,70.37796924,270 mg Q2W,,,,,,
4,4032,147.5752,170.7865013,124.3638987,99.513916,114.827418,84.200414,270 mg Q2W,112.2715,113.70863,110.83437,104.08039,105.28729,102.87349
4,8736,96.29416,108.008915,84.57940498,85.8708,97.22651592,74.51508408,270 mg Q2W,117.6094,119.97041,115.24839,106.69832,107.98568,105.41096
